GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,Team,0,21,0,0,0,4,0,1,0,1
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,PokedexException,0,4,0,0,0,2,0,1,0,1
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,IPokedexFactoryImpl,0,9,0,0,0,2,0,2,0,2
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,PokemonMetadata,0,33,0,0,0,12,0,6,0,6
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,IPokemonFactoryImpl,0,27,0,0,0,7,0,2,0,2
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,PokemonTrainer,0,21,0,0,0,8,0,4,0,4
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,IPokemonMetadataProviderImpl,0,53,0,2,0,9,0,6,0,5
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,PokemonComparators,41,0,0,0,8,0,3,0,3,0
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,IPokedexImpl,6,105,3,9,2,24,3,12,0,9
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,IPokemonTrainerFactoryImpl,0,23,0,0,0,6,0,2,0,2
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,Pokemon,9,29,0,0,3,9,3,3,3,3
